날짜,CD91일금리,항목명,단위
2015-01-02,2.13,CD(91일),연%
2015-01-05,2.13,CD(91일),연%
2015-01-06,2.13,CD(91일),연%
2015-01-07,2.13,CD(91일),연%
2015-01-08,2.13,CD(91일),연%
2015-01-09,2.13,CD(91일),연%
2015-01-12,2.13,CD(91일),연%
2015-01-13,2.13,CD(91일),연%
2015-01-14,2.13,CD(91일),연%
2015-01-15,2.13,CD(91일),연%
2015-01-16,2.13,CD(91일),연%
2015-01-19,2.13,CD(91일),연%
2015-01-20,2.13,CD(91일),연%
2015-01-21,2.13,CD(91일),연%
2015-01-22,2.13,CD(91일),연%
2015-01-23,2.13,CD(91일),연%
2015-01-26,2.13,CD(91일),연%
2015-01-27,2.13,CD(91일),연%
2015-01-28,2.12,CD(91일),연%
2015-01-29,2.12,CD(91일),연%
2015-01-30,2.12,CD(91일),연%
2015-02-02,2.12,CD(91일),연%
2015-02-03,2.12,CD(91일),연%
2015-02-04,2.12,CD(91일),연%
2015-02-05,2.12,CD(91일),연%
2015-02-06,2.12,CD(91일),연%
2015-02-09,2.12,CD(91일),연%
2015-02-10,2.12,CD(91일),연%
2015-02-11,2.12,CD(91일),연%
2015-02-12,2.12,CD(91일),연%
2015-02-13,2.12,CD(91일),연%
2015-02-16,2.12,CD(91일),연%
2015-02-17,2.12,CD(91일),연%
2015-02-23,2.12,CD(91일),연%
2015-02-24,2.1,CD(91일),연%
2015-02-25,2.1,CD(91일),연%
2015-02-26,2.1,CD(91일),연%
2015-02-27,2.1,CD(91일),연%
2015-03-02,2.1,CD(91일),연%
2015-03-03,2.1,CD(91일),연%
2015-03-04,2.1,CD(91일),연%
2015-03-05,2.1,CD(91일),연%
2015-03-06,2.1,CD(91일),연%
2015-03-09,2.1,CD(91일),연%
2015-03-10,2.1,CD(91일),연%
2015-03-11,2.1,CD(91일),연%
2015-03-12,1.91,CD(91일),연%
2015-03-13,1.9,CD(91일),연%
2015-03-16,1.89,CD(91일),연%
2015-03-17,1.88,CD(91일),연%
2015-03-18,1.87,CD(91일),연%
2015-03-19,1.87,CD(91일),연%
2015-03-20,1.86,CD(91일),연%
2015-03-23,1.86,CD(91일),연%
2015-03-24,1.86,CD(91일),연%
2015-03-25,1.86,CD(91일),연%
2015-03-26,1.86,CD(91일),연%
2015-03-27,1.86,CD(91일),연%
2015-03-30,1.85,CD(91일),연%
2015-03-31,1.85,CD(91일),연%
2015-04-01,1.85,CD(91일),연%
2015-04-02,1.85,CD(91일),연%
2015-04-03,1.85,CD(91일),연%
2015-04-06,1.85,CD(91일),연%
2015-04-07,1.83,CD(91일),연%
2015-04-08,1.83,CD(91일),연%
2015-04-09,1.82,CD(91일),연%
2015-04-10,1.8,CD(91일),연%
2015-04-13,1.8,CD(91일),연%
2015-04-14,1.8,CD(91일),연%
2015-04-15,1.8,CD(91일),연%
2015-04-16,1.8,CD(91일),연%
2015-04-17,1.8,CD(91일),연%
2015-04-20,1.8,CD(91일),연%
2015-04-21,1.8,CD(91일),연%
2015-04-22,1.8,CD(91일),연%
2015-04-23,1.8,CD(91일),연%
2015-04-24,1.8,CD(91일),연%
2015-04-27,1.8,CD(91일),연%
2015-04-28,1.8,CD(91일),연%
2015-04-29,1.8,CD(91일),연%
2015-04-30,1.8,CD(91일),연%
2015-05-04,1.8,CD(91일),연%
2015-05-06,1.8,CD(91일),연%
2015-05-07,1.8,CD(91일),연%
2015-05-08,1.8,CD(91일),연%
2015-05-11,1.8,CD(91일),연%
2015-05-12,1.8,CD(91일),연%
2015-05-13,1.8,CD(91일),연%
2015-05-14,1.8,CD(91일),연%
2015-05-15,1.8,CD(91일),연%
2015-05-18,1.8,CD(91일),연%
2015-05-19,1.8,CD(91일),연%
2015-05-20,1.8,CD(91일),연%
2015-05-21,1.8,CD(91일),연%
2015-05-22,1.8,CD(91일),연%
2015-05-26,1.8,CD(91일),연%
2015-05-27,1.8,CD(91일),연%
2015-05-28,1.8,CD(91일),연%
2015-05-29,1.8,CD(91일),연%
2015-06-01,1.8,CD(91일),연%
2015-06-02,1.8,CD(91일),연%
2015-06-03,1.8,CD(91일),연%
2015-06-04,1.8,CD(91일),연%
2015-06-05,1.8,CD(91일),연%
2015-06-08,1.8,CD(91일),연%
2015-06-09,1.8,CD(91일),연%
2015-06-10,1.8,CD(91일),연%
2015-06-11,1.65,CD(91일),연%
2015-06-12,1.65,CD(91일),연%
2015-06-15,1.65,CD(91일),연%
2015-06-16,1.65,CD(91일),연%
2015-06-17,1.65,CD(91일),연%
2015-06-18,1.65,CD(91일),연%
2015-06-19,1.65,CD(91일),연%
2015-06-22,1.65,CD(91일),연%
2015-06-23,1.65,CD(91일),연%
2015-06-24,1.65,CD(91일),연%
2015-06-25,1.65,CD(91일),연%
2015-06-26,1.65,CD(91일),연%
2015-06-29,1.65,CD(91일),연%
2015-06-30,1.65,CD(91일),연%
2015-07-01,1.65,CD(91일),연%
2015-07-02,1.65,CD(91일),연%
2015-07-03,1.65,CD(91일),연%
2015-07-06,1.65,CD(91일),연%
2015-07-07,1.65,CD(91일),연%
2015-07-08,1.65,CD(91일),연%
2015-07-09,1.65,CD(91일),연%
2015-07-10,1.65,CD(91일),연%
2015-07-13,1.65,CD(91일),연%
2015-07-14,1.65,CD(91일),연%
2015-07-15,1.65,CD(91일),연%
2015-07-16,1.65,CD(91일),연%
2015-07-17,1.65,CD(91일),연%
2015-07-20,1.65,CD(91일),연%
2015-07-21,1.65,CD(91일),연%
2015-07-22,1.65,CD(91일),연%
2015-07-23,1.65,CD(91일),연%
2015-07-24,1.65,CD(91일),연%
2015-07-27,1.64,CD(91일),연%
2015-07-28,1.64,CD(91일),연%
2015-07-29,1.64,CD(91일),연%
2015-07-30,1.64,CD(91일),연%
2015-07-31,1.64,CD(91일),연%
2015-08-03,1.64,CD(91일),연%
2015-08-04,1.64,CD(91일),연%
2015-08-05,1.64,CD(91일),연%
2015-08-06,1.64,CD(91일),연%
2015-08-07,1.64,CD(91일),연%
2015-08-10,1.64,CD(91일),연%
2015-08-11,1.64,CD(91일),연%
2015-08-12,1.64,CD(91일),연%
2015-08-13,1.64,CD(91일),연%
2015-08-17,1.64,CD(91일),연%
2015-08-18,1.64,CD(91일),연%
2015-08-19,1.64,CD(91일),연%
2015-08-20,1.64,CD(91일),연%
2015-08-21,1.64,CD(91일),연%
2015-08-24,1.64,CD(91일),연%
2015-08-25,1.64,CD(91일),연%
2015-08-26,1.64,CD(91일),연%
2015-08-27,1.64,CD(91일),연%
2015-08-28,1.64,CD(91일),연%
2015-08-31,1.63,CD(91일),연%
2015-09-01,1.63,CD(91일),연%
2015-09-02,1.61,CD(91일),연%
2015-09-03,1.61,CD(91일),연%
2015-09-04,1.6,CD(91일),연%
2015-09-07,1.6,CD(91일),연%
2015-09-08,1.6,CD(91일),연%
2015-09-09,1.6,CD(91일),연%
2015-09-10,1.6,CD(91일),연%
2015-09-11,1.6,CD(91일),연%
2015-09-14,1.6,CD(91일),연%
2015-09-15,1.6,CD(91일),연%
2015-09-16,1.6,CD(91일),연%
2015-09-17,1.6,CD(91일),연%
2015-09-18,1.6,CD(91일),연%
2015-09-21,1.6,CD(91일),연%
2015-09-22,1.6,CD(91일),연%
2015-09-23,1.6,CD(91일),연%
2015-09-24,1.6,CD(91일),연%
2015-09-25,1.6,CD(91일),연%
2015-09-30,1.59,CD(91일),연%
2015-10-01,1.59,CD(91일),연%
2015-10-02,1.59,CD(91일),연%
2015-10-05,1.59,CD(91일),연%
2015-10-06,1.59,CD(91일),연%
2015-10-07,1.59,CD(91일),연%
2015-10-08,1.59,CD(91일),연%
2015-10-12,1.59,CD(91일),연%
2015-10-13,1.58,CD(91일),연%
2015-10-14,1.57,CD(91일),연%
2015-10-15,1.57,CD(91일),연%
2015-10-16,1.57,CD(91일),연%
2015-10-19,1.57,CD(91일),연%
2015-10-20,1.57,CD(91일),연%
2015-10-21,1.57,CD(91일),연%
2015-10-22,1.57,CD(91일),연%
2015-10-23,1.57,CD(91일),연%
2015-10-26,1.57,CD(91일),연%
2015-10-27,1.57,CD(91일),연%
2015-10-28,1.57,CD(91일),연%
2015-10-29,1.57,CD(91일),연%
2015-10-30,1.57,CD(91일),연%
2015-11-02,1.57,CD(91일),연%
2015-11-03,1.57,CD(91일),연%
2015-11-04,1.57,CD(91일),연%
2015-11-05,1.57,CD(91일),연%
2015-11-06,1.57,CD(91일),연%
2015-11-09,1.57,CD(91일),연%
2015-11-10,1.57,CD(91일),연%
2015-11-11,1.57,CD(91일),연%
2015-11-12,1.58,CD(91일),연%
2015-11-13,1.58,CD(91일),연%
2015-11-16,1.58,CD(91일),연%
2015-11-17,1.58,CD(91일),연%
2015-11-18,1.58,CD(91일),연%
2015-11-19,1.58,CD(91일),연%
2015-11-20,1.58,CD(91일),연%
2015-11-23,1.59,CD(91일),연%
2015-11-24,1.59,CD(91일),연%
2015-11-25,1.59,CD(91일),연%
2015-11-26,1.62,CD(91일),연%
2015-11-27,1.62,CD(91일),연%
2015-11-30,1.66,CD(91일),연%
2015-12-01,1.67,CD(91일),연%
2015-12-02,1.67,CD(91일),연%
2015-12-03,1.67,CD(91일),연%
2015-12-04,1.67,CD(91일),연%
2015-12-07,1.67,CD(91일),연%
2015-12-08,1.67,CD(91일),연%
2015-12-09,1.67,CD(91일),연%
2015-12-10,1.67,CD(91일),연%
2015-12-11,1.67,CD(91일),연%
2015-12-14,1.67,CD(91일),연%
2015-12-15,1.67,CD(91일),연%
2015-12-16,1.67,CD(91일),연%
2015-12-17,1.67,CD(91일),연%
2015-12-18,1.67,CD(91일),연%
2015-12-21,1.67,CD(91일),연%
2015-12-22,1.67,CD(91일),연%
2015-12-23,1.67,CD(91일),연%
2015-12-24,1.67,CD(91일),연%
2015-12-28,1.67,CD(91일),연%
2015-12-29,1.67,CD(91일),연%
2015-12-30,1.67,CD(91일),연%
2015-12-31,1.67,CD(91일),연%
2016-01-04,1.67,CD(91일),연%
2016-01-05,1.67,CD(91일),연%
2016-01-06,1.67,CD(91일),연%
2016-01-07,1.67,CD(91일),연%
2016-01-08,1.67,CD(91일),연%
2016-01-11,1.67,CD(91일),연%
2016-01-12,1.67,CD(91일),연%
2016-01-13,1.67,CD(91일),연%
2016-01-14,1.67,CD(91일),연%
2016-01-15,1.67,CD(91일),연%
2016-01-18,1.67,CD(91일),연%
2016-01-19,1.67,CD(91일),연%
2016-01-20,1.67,CD(91일),연%
2016-01-21,1.67,CD(91일),연%
2016-01-22,1.67,CD(91일),연%
2016-01-25,1.65,CD(91일),연%
2016-01-26,1.65,CD(91일),연%
2016-01-27,1.65,CD(91일),연%
2016-01-28,1.65,CD(91일),연%
2016-01-29,1.65,CD(91일),연%
2016-02-01,1.65,CD(91일),연%
2016-02-02,1.65,CD(91일),연%
2016-02-03,1.65,CD(91일),연%
2016-02-04,1.65,CD(91일),연%
2016-02-05,1.65,CD(91일),연%
2016-02-11,1.64,CD(91일),연%
2016-02-12,1.64,CD(91일),연%
2016-02-15,1.64,CD(91일),연%
2016-02-16,1.63,CD(91일),연%
2016-02-17,1.63,CD(91일),연%
2016-02-18,1.63,CD(91일),연%
2016-02-19,1.63,CD(91일),연%
2016-02-22,1.63,CD(91일),연%
2016-02-23,1.63,CD(91일),연%
2016-02-24,1.63,CD(91일),연%
2016-02-25,1.63,CD(91일),연%
2016-02-26,1.63,CD(91일),연%
2016-02-29,1.63,CD(91일),연%
2016-03-02,1.63,CD(91일),연%
2016-03-03,1.63,CD(91일),연%
2016-03-04,1.63,CD(91일),연%
2016-03-07,1.63,CD(91일),연%
2016-03-08,1.63,CD(91일),연%
2016-03-09,1.63,CD(91일),연%
2016-03-10,1.63,CD(91일),연%
2016-03-11,1.63,CD(91일),연%
2016-03-14,1.63,CD(91일),연%
2016-03-15,1.63,CD(91일),연%
2016-03-16,1.63,CD(91일),연%
2016-03-17,1.63,CD(91일),연%
2016-03-18,1.63,CD(91일),연%
2016-03-21,1.63,CD(91일),연%
2016-03-22,1.63,CD(91일),연%
2016-03-23,1.63,CD(91일),연%
2016-03-24,1.63,CD(91일),연%
2016-03-25,1.63,CD(91일),연%
2016-03-28,1.61,CD(91일),연%
2016-03-29,1.61,CD(91일),연%
2016-03-30,1.61,CD(91일),연%
2016-03-31,1.61,CD(91일),연%
2016-04-01,1.61,CD(91일),연%
2016-04-04,1.61,CD(91일),연%
2016-04-05,1.61,CD(91일),연%
2016-04-06,1.61,CD(91일),연%
2016-04-07,1.61,CD(91일),연%
2016-04-08,1.61,CD(91일),연%
2016-04-11,1.61,CD(91일),연%
2016-04-12,1.61,CD(91일),연%
2016-04-14,1.61,CD(91일),연%
2016-04-15,1.61,CD(91일),연%
2016-04-18,1.61,CD(91일),연%
2016-04-19,1.61,CD(91일),연%
2016-04-20,1.61,CD(91일),연%
2016-04-21,1.61,CD(91일),연%
2016-04-22,1.61,CD(91일),연%
2016-04-25,1.61,CD(91일),연%
2016-04-26,1.61,CD(91일),연%
2016-04-27,1.61,CD(91일),연%
2016-04-28,1.61,CD(91일),연%
2016-04-29,1.61,CD(91일),연%
2016-05-02,1.61,CD(91일),연%
2016-05-03,1.61,CD(91일),연%
2016-05-04,1.61,CD(91일),연%
2016-05-09,1.61,CD(91일),연%
2016-05-10,1.6,CD(91일),연%
2016-05-11,1.6,CD(91일),연%
2016-05-12,1.6,CD(91일),연%
2016-05-13,1.6,CD(91일),연%
2016-05-16,1.58,CD(91일),연%
2016-05-17,1.58,CD(91일),연%
2016-05-18,1.58,CD(91일),연%
2016-05-19,1.56,CD(91일),연%
2016-05-20,1.56,CD(91일),연%
2016-05-23,1.56,CD(91일),연%
2016-05-24,1.56,CD(91일),연%
2016-05-25,1.56,CD(91일),연%
2016-05-26,1.56,CD(91일),연%
2016-05-27,1.56,CD(91일),연%
2016-05-30,1.56,CD(91일),연%
2016-05-31,1.56,CD(91일),연%
2016-06-01,1.56,CD(91일),연%
2016-06-02,1.56,CD(91일),연%
2016-06-03,1.56,CD(91일),연%
2016-06-07,1.56,CD(91일),연%
2016-06-08,1.56,CD(91일),연%
2016-06-09,1.39,CD(91일),연%
2016-06-10,1.39,CD(91일),연%
2016-06-13,1.39,CD(91일),연%
2016-06-14,1.39,CD(91일),연%
2016-06-15,1.39,CD(91일),연%
2016-06-16,1.39,CD(91일),연%
2016-06-17,1.39,CD(91일),연%
2016-06-20,1.39,CD(91일),연%
2016-06-21,1.39,CD(91일),연%
2016-06-22,1.39,CD(91일),연%
2016-06-23,1.39,CD(91일),연%
2016-06-24,1.37,CD(91일),연%
2016-06-27,1.37,CD(91일),연%
2016-06-28,1.37,CD(91일),연%
2016-06-29,1.37,CD(91일),연%
2016-06-30,1.37,CD(91일),연%
2016-07-01,1.37,CD(91일),연%
2016-07-04,1.37,CD(91일),연%
2016-07-05,1.37,CD(91일),연%
2016-07-06,1.37,CD(91일),연%
2016-07-07,1.36,CD(91일),연%
2016-07-08,1.36,CD(91일),연%
2016-07-11,1.36,CD(91일),연%
2016-07-12,1.36,CD(91일),연%
2016-07-13,1.36,CD(91일),연%
2016-07-14,1.36,CD(91일),연%
2016-07-15,1.36,CD(91일),연%
2016-07-18,1.36,CD(91일),연%
2016-07-19,1.36,CD(91일),연%
2016-07-20,1.36,CD(91일),연%
2016-07-21,1.36,CD(91일),연%
2016-07-22,1.36,CD(91일),연%
2016-07-25,1.36,CD(91일),연%
2016-07-26,1.36,CD(91일),연%
2016-07-27,1.36,CD(91일),연%
2016-07-28,1.36,CD(91일),연%
2016-07-29,1.36,CD(91일),연%
2016-08-01,1.36,CD(91일),연%
2016-08-02,1.36,CD(91일),연%
2016-08-03,1.36,CD(91일),연%
2016-08-04,1.36,CD(91일),연%
2016-08-05,1.36,CD(91일),연%
2016-08-08,1.36,CD(91일),연%
2016-08-09,1.36,CD(91일),연%
2016-08-10,1.36,CD(91일),연%
2016-08-11,1.35,CD(91일),연%
2016-08-12,1.35,CD(91일),연%
2016-08-16,1.35,CD(91일),연%
2016-08-17,1.35,CD(91일),연%
2016-08-18,1.34,CD(91일),연%
2016-08-19,1.34,CD(91일),연%
2016-08-22,1.34,CD(91일),연%
2016-08-23,1.34,CD(91일),연%
2016-08-24,1.34,CD(91일),연%
2016-08-25,1.34,CD(91일),연%
2016-08-26,1.34,CD(91일),연%
2016-08-29,1.34,CD(91일),연%
2016-08-30,1.34,CD(91일),연%
2016-08-31,1.34,CD(91일),연%
2016-09-01,1.34,CD(91일),연%
2016-09-02,1.34,CD(91일),연%
2016-09-05,1.34,CD(91일),연%
2016-09-06,1.34,CD(91일),연%
2016-09-07,1.34,CD(91일),연%
2016-09-08,1.34,CD(91일),연%
2016-09-09,1.34,CD(91일),연%
2016-09-12,1.34,CD(91일),연%
2016-09-13,1.34,CD(91일),연%
2016-09-19,1.34,CD(91일),연%
2016-09-20,1.34,CD(91일),연%
2016-09-21,1.34,CD(91일),연%
2016-09-22,1.34,CD(91일),연%
2016-09-23,1.34,CD(91일),연%
2016-09-26,1.34,CD(91일),연%
2016-09-27,1.34,CD(91일),연%
2016-09-28,1.34,CD(91일),연%
2016-09-29,1.34,CD(91일),연%
2016-09-30,1.34,CD(91일),연%
2016-10-04,1.34,CD(91일),연%
2016-10-05,1.34,CD(91일),연%
2016-10-06,1.34,CD(91일),연%
2016-10-07,1.34,CD(91일),연%
2016-10-10,1.34,CD(91일),연%
2016-10-11,1.34,CD(91일),연%
2016-10-12,1.34,CD(91일),연%
2016-10-13,1.34,CD(91일),연%
2016-10-14,1.34,CD(91일),연%
2016-10-17,1.34,CD(91일),연%
2016-10-18,1.34,CD(91일),연%
2016-10-19,1.34,CD(91일),연%
2016-10-20,1.34,CD(91일),연%
2016-10-21,1.36,CD(91일),연%
2016-10-24,1.37,CD(91일),연%
2016-10-25,1.38,CD(91일),연%
2016-10-26,1.39,CD(91일),연%
2016-10-27,1.39,CD(91일),연%
2016-10-28,1.39,CD(91일),연%
2016-10-31,1.39,CD(91일),연%
2016-11-01,1.39,CD(91일),연%
2016-11-02,1.39,CD(91일),연%
2016-11-03,1.39,CD(91일),연%
2016-11-04,1.39,CD(91일),연%
2016-11-07,1.39,CD(91일),연%
2016-11-08,1.39,CD(91일),연%
2016-11-09,1.39,CD(91일),연%
2016-11-10,1.39,CD(91일),연%
2016-11-11,1.39,CD(91일),연%
2016-11-14,1.39,CD(91일),연%
2016-11-15,1.39,CD(91일),연%
2016-11-16,1.39,CD(91일),연%
2016-11-17,1.4,CD(91일),연%
2016-11-18,1.4,CD(91일),연%
2016-11-21,1.41,CD(91일),연%
2016-11-22,1.42,CD(91일),연%
2016-11-23,1.43,CD(91일),연%
2016-11-24,1.46,CD(91일),연%
2016-11-25,1.48,CD(91일),연%
2016-11-28,1.49,CD(91일),연%
2016-11-29,1.52,CD(91일),연%
2016-11-30,1.52,CD(91일),연%
2016-12-01,1.53,CD(91일),연%
2016-12-02,1.54,CD(91일),연%
2016-12-05,1.54,CD(91일),연%
2016-12-06,1.54,CD(91일),연%
2016-12-07,1.54,CD(91일),연%
2016-12-08,1.54,CD(91일),연%
2016-12-09,1.54,CD(91일),연%
2016-12-12,1.54,CD(91일),연%
2016-12-13,1.54,CD(91일),연%
2016-12-14,1.54,CD(91일),연%
2016-12-15,1.54,CD(91일),연%
2016-12-16,1.54,CD(91일),연%
2016-12-19,1.54,CD(91일),연%
2016-12-20,1.54,CD(91일),연%
2016-12-21,1.54,CD(91일),연%
2016-12-22,1.54,CD(91일),연%
2016-12-23,1.54,CD(91일),연%
2016-12-26,1.54,CD(91일),연%
2016-12-27,1.54,CD(91일),연%
2016-12-28,1.53,CD(91일),연%
2016-12-29,1.52,CD(91일),연%
2016-12-30,1.52,CD(91일),연%
2017-01-02,1.52,CD(91일),연%
2017-01-03,1.52,CD(91일),연%
2017-01-04,1.51,CD(91일),연%
2017-01-05,1.51,CD(91일),연%
2017-01-06,1.49,CD(91일),연%
2017-01-09,1.49,CD(91일),연%
2017-01-10,1.49,CD(91일),연%
2017-01-11,1.49,CD(91일),연%
2017-01-12,1.49,CD(91일),연%
2017-01-13,1.49,CD(91일),연%
2017-01-16,1.49,CD(91일),연%
2017-01-17,1.49,CD(91일),연%
2017-01-18,1.49,CD(91일),연%
2017-01-19,1.49,CD(91일),연%
2017-01-20,1.49,CD(91일),연%
2017-01-23,1.49,CD(91일),연%
2017-01-24,1.49,CD(91일),연%
2017-01-25,1.49,CD(91일),연%
2017-01-26,1.49,CD(91일),연%
2017-01-31,1.49,CD(91일),연%
2017-02-01,1.49,CD(91일),연%
2017-02-02,1.49,CD(91일),연%
2017-02-03,1.49,CD(91일),연%
2017-02-06,1.49,CD(91일),연%
2017-02-07,1.49,CD(91일),연%
2017-02-08,1.49,CD(91일),연%
2017-02-09,1.49,CD(91일),연%
2017-02-10,1.49,CD(91일),연%
2017-02-13,1.49,CD(91일),연%
2017-02-14,1.49,CD(91일),연%
2017-02-15,1.49,CD(91일),연%
2017-02-16,1.49,CD(91일),연%
2017-02-17,1.49,CD(91일),연%
2017-02-20,1.49,CD(91일),연%
2017-02-21,1.49,CD(91일),연%
2017-02-22,1.49,CD(91일),연%
2017-02-23,1.49,CD(91일),연%
2017-02-24,1.49,CD(91일),연%
2017-02-27,1.49,CD(91일),연%
2017-02-28,1.49,CD(91일),연%
2017-03-02,1.49,CD(91일),연%
2017-03-03,1.49,CD(91일),연%
2017-03-06,1.49,CD(91일),연%
2017-03-07,1.49,CD(91일),연%
2017-03-08,1.49,CD(91일),연%
2017-03-09,1.49,CD(91일),연%
2017-03-10,1.49,CD(91일),연%
2017-03-13,1.49,CD(91일),연%
2017-03-14,1.49,CD(91일),연%
2017-03-15,1.49,CD(91일),연%
2017-03-16,1.48,CD(91일),연%
2017-03-17,1.48,CD(91일),연%
2017-03-20,1.48,CD(91일),연%
2017-03-21,1.48,CD(91일),연%
2017-03-22,1.48,CD(91일),연%
2017-03-23,1.47,CD(91일),연%
2017-03-24,1.47,CD(91일),연%
2017-03-27,1.47,CD(91일),연%
2017-03-28,1.47,CD(91일),연%
2017-03-29,1.45,CD(91일),연%
2017-03-30,1.45,CD(91일),연%
2017-03-31,1.45,CD(91일),연%
2017-04-03,1.45,CD(91일),연%
2017-04-04,1.45,CD(91일),연%
2017-04-05,1.45,CD(91일),연%
2017-04-06,1.45,CD(91일),연%
2017-04-07,1.45,CD(91일),연%
2017-04-10,1.45,CD(91일),연%
2017-04-11,1.45,CD(91일),연%
2017-04-12,1.43,CD(91일),연%
2017-04-13,1.43,CD(91일),연%
2017-04-14,1.42,CD(91일),연%
2017-04-17,1.42,CD(91일),연%
2017-04-18,1.42,CD(91일),연%
2017-04-19,1.42,CD(91일),연%
2017-04-20,1.42,CD(91일),연%
2017-04-21,1.42,CD(91일),연%
2017-04-24,1.42,CD(91일),연%
2017-04-25,1.42,CD(91일),연%
2017-04-26,1.41,CD(91일),연%
2017-04-27,1.41,CD(91일),연%
2017-04-28,1.41,CD(91일),연%
2017-05-02,1.41,CD(91일),연%
2017-05-04,1.41,CD(91일),연%
2017-05-08,1.41,CD(91일),연%
2017-05-10,1.41,CD(91일),연%
2017-05-11,1.4,CD(91일),연%
2017-05-12,1.4,CD(91일),연%
2017-05-15,1.4,CD(91일),연%
2017-05-16,1.4,CD(91일),연%
2017-05-17,1.39,CD(91일),연%
2017-05-18,1.39,CD(91일),연%
2017-05-19,1.39,CD(91일),연%
2017-05-22,1.39,CD(91일),연%
2017-05-23,1.38,CD(91일),연%
2017-05-24,1.38,CD(91일),연%
2017-05-25,1.38,CD(91일),연%
2017-05-26,1.38,CD(91일),연%
2017-05-29,1.38,CD(91일),연%
2017-05-30,1.38,CD(91일),연%
2017-05-31,1.38,CD(91일),연%
2017-06-01,1.38,CD(91일),연%
2017-06-02,1.38,CD(91일),연%
2017-06-05,1.38,CD(91일),연%
2017-06-07,1.38,CD(91일),연%
2017-06-08,1.38,CD(91일),연%
2017-06-09,1.38,CD(91일),연%
2017-06-12,1.38,CD(91일),연%
2017-06-13,1.38,CD(91일),연%
2017-06-14,1.38,CD(91일),연%
2017-06-15,1.38,CD(91일),연%
2017-06-16,1.38,CD(91일),연%
2017-06-19,1.38,CD(91일),연%
2017-06-20,1.38,CD(91일),연%
2017-06-21,1.38,CD(91일),연%
2017-06-22,1.38,CD(91일),연%
2017-06-23,1.38,CD(91일),연%
2017-06-26,1.38,CD(91일),연%
2017-06-27,1.38,CD(91일),연%
2017-06-28,1.38,CD(91일),연%
