날짜,CD91일금리,항목명,단위
2022-07-01,2.05,CD(91일),연%
2022-07-04,2.05,CD(91일),연%
2022-07-05,2.05,CD(91일),연%
2022-07-06,2.05,CD(91일),연%
2022-07-07,2.05,CD(91일),연%
2022-07-08,2.05,CD(91일),연%
2022-07-11,2.12,CD(91일),연%
2022-07-12,2.14,CD(91일),연%
2022-07-13,2.57,CD(91일),연%
2022-07-14,2.58,CD(91일),연%
2022-07-15,2.58,CD(91일),연%
2022-07-18,2.58,CD(91일),연%
2022-07-19,2.58,CD(91일),연%
2022-07-20,2.58,CD(91일),연%
2022-07-21,2.58,CD(91일),연%
2022-07-22,2.58,CD(91일),연%
2022-07-25,2.59,CD(91일),연%
2022-07-26,2.61,CD(91일),연%
2022-07-27,2.68,CD(91일),연%
2022-07-28,2.74,CD(91일),연%
2022-07-29,2.73,CD(91일),연%
2022-08-01,2.73,CD(91일),연%
2022-08-02,2.73,CD(91일),연%
2022-08-03,2.73,CD(91일),연%
2022-08-04,2.74,CD(91일),연%
2022-08-05,2.74,CD(91일),연%
2022-08-08,2.75,CD(91일),연%
2022-08-09,2.75,CD(91일),연%
2022-08-10,2.76,CD(91일),연%
2022-08-11,2.76,CD(91일),연%
2022-08-12,2.76,CD(91일),연%
2022-08-16,2.76,CD(91일),연%
2022-08-17,2.76,CD(91일),연%
2022-08-18,2.76,CD(91일),연%
2022-08-19,2.76,CD(91일),연%
2022-08-22,2.76,CD(91일),연%
2022-08-23,2.76,CD(91일),연%
2022-08-24,2.76,CD(91일),연%
2022-08-25,2.92,CD(91일),연%
2022-08-26,2.92,CD(91일),연%
2022-08-29,2.92,CD(91일),연%
2022-08-30,2.92,CD(91일),연%
2022-08-31,2.92,CD(91일),연%
2022-09-01,2.92,CD(91일),연%
2022-09-02,2.93,CD(91일),연%
2022-09-05,2.93,CD(91일),연%
2022-09-06,2.93,CD(91일),연%
2022-09-07,2.93,CD(91일),연%
2022-09-08,2.93,CD(91일),연%
2022-09-13,2.93,CD(91일),연%
2022-09-14,2.94,CD(91일),연%
2022-09-15,2.96,CD(91일),연%
2022-09-16,2.97,CD(91일),연%
2022-09-19,2.99,CD(91일),연%
2022-09-20,3.0,CD(91일),연%
2022-09-21,3.02,CD(91일),연%
2022-09-22,3.04,CD(91일),연%
2022-09-23,3.07,CD(91일),연%
2022-09-26,3.09,CD(91일),연%
2022-09-27,3.12,CD(91일),연%
2022-09-28,3.14,CD(91일),연%
2022-09-29,3.2,CD(91일),연%
2022-09-30,3.24,CD(91일),연%
2022-10-04,3.28,CD(91일),연%
2022-10-05,3.32,CD(91일),연%
2022-10-06,3.32,CD(91일),연%
2022-10-07,3.32,CD(91일),연%
2022-10-11,3.32,CD(91일),연%
2022-10-12,3.63,CD(91일),연%
2022-10-13,3.66,CD(91일),연%
2022-10-14,3.66,CD(91일),연%
2022-10-17,3.7,CD(91일),연%
2022-10-18,3.76,CD(91일),연%
2022-10-19,3.81,CD(91일),연%
2022-10-20,3.85,CD(91일),연%
2022-10-21,3.9,CD(91일),연%
2022-10-24,3.92,CD(91일),연%
2022-10-25,3.93,CD(91일),연%
2022-10-26,3.94,CD(91일),연%
2022-10-27,3.94,CD(91일),연%
2022-10-28,3.95,CD(91일),연%
2022-10-31,3.96,CD(91일),연%
2022-11-01,3.97,CD(91일),연%
2022-11-02,3.97,CD(91일),연%
2022-11-03,3.97,CD(91일),연%
2022-11-04,3.97,CD(91일),연%
2022-11-07,3.97,CD(91일),연%
2022-11-08,3.97,CD(91일),연%
2022-11-09,3.97,CD(91일),연%
2022-11-10,3.97,CD(91일),연%
2022-11-11,3.97,CD(91일),연%
2022-11-14,3.97,CD(91일),연%
2022-11-15,3.97,CD(91일),연%
2022-11-16,3.97,CD(91일),연%
2022-11-17,3.99,CD(91일),연%
2022-11-18,3.99,CD(91일),연%
2022-11-21,4.01,CD(91일),연%
2022-11-22,4.02,CD(91일),연%
2022-11-23,4.02,CD(91일),연%
2022-11-24,4.03,CD(91일),연%
2022-11-25,4.03,CD(91일),연%
2022-11-28,4.03,CD(91일),연%
2022-11-29,4.03,CD(91일),연%
2022-11-30,4.03,CD(91일),연%
2022-12-01,4.03,CD(91일),연%
2022-12-02,4.03,CD(91일),연%
2022-12-05,4.03,CD(91일),연%
2022-12-06,4.03,CD(91일),연%
2022-12-07,4.03,CD(91일),연%
2022-12-08,4.03,CD(91일),연%
2022-12-09,4.03,CD(91일),연%
2022-12-12,4.03,CD(91일),연%
2022-12-13,4.03,CD(91일),연%
2022-12-14,4.03,CD(91일),연%
2022-12-15,4.03,CD(91일),연%
2022-12-16,4.03,CD(91일),연%
2022-12-19,4.03,CD(91일),연%
2022-12-20,4.03,CD(91일),연%
2022-12-21,4.03,CD(91일),연%
2022-12-22,4.03,CD(91일),연%
2022-12-23,4.03,CD(91일),연%
2022-12-26,4.03,CD(91일),연%
2022-12-27,3.98,CD(91일),연%
2022-12-28,3.98,CD(91일),연%
2022-12-29,3.98,CD(91일),연%
2022-12-30,3.98,CD(91일),연%
2023-01-02,3.98,CD(91일),연%
2023-01-03,3.96,CD(91일),연%
2023-01-04,3.96,CD(91일),연%
2023-01-05,3.96,CD(91일),연%
2023-01-06,3.92,CD(91일),연%
2023-01-09,3.92,CD(91일),연%
2023-01-10,3.9,CD(91일),연%
2023-01-11,3.88,CD(91일),연%
2023-01-12,3.87,CD(91일),연%
2023-01-13,3.88,CD(91일),연%
2023-01-16,3.79,CD(91일),연%
2023-01-17,3.74,CD(91일),연%
2023-01-18,3.7,CD(91일),연%
2023-01-19,3.68,CD(91일),연%
2023-01-20,3.67,CD(91일),연%
2023-01-25,3.66,CD(91일),연%
2023-01-26,3.65,CD(91일),연%
2023-01-27,3.64,CD(91일),연%
2023-01-30,3.63,CD(91일),연%
2023-01-31,3.63,CD(91일),연%
2023-02-01,3.59,CD(91일),연%
2023-02-02,3.52,CD(91일),연%
2023-02-03,3.49,CD(91일),연%
2023-02-06,3.47,CD(91일),연%
2023-02-07,3.46,CD(91일),연%
2023-02-08,3.46,CD(91일),연%
2023-02-09,3.46,CD(91일),연%
2023-02-10,3.47,CD(91일),연%
2023-02-13,3.48,CD(91일),연%
2023-02-14,3.48,CD(91일),연%
2023-02-15,3.49,CD(91일),연%
2023-02-16,3.5,CD(91일),연%
2023-02-17,3.52,CD(91일),연%
2023-02-20,3.53,CD(91일),연%
2023-02-21,3.54,CD(91일),연%
2023-02-22,3.56,CD(91일),연%
2023-02-23,3.59,CD(91일),연%
2023-02-24,3.59,CD(91일),연%
2023-02-27,3.59,CD(91일),연%
2023-02-28,3.59,CD(91일),연%
2023-03-02,3.61,CD(91일),연%
2023-03-03,3.61,CD(91일),연%
2023-03-06,3.61,CD(91일),연%
2023-03-07,3.61,CD(91일),연%
2023-03-08,3.61,CD(91일),연%
2023-03-09,3.61,CD(91일),연%
2023-03-10,3.61,CD(91일),연%
2023-03-13,3.61,CD(91일),연%
2023-03-14,3.61,CD(91일),연%
2023-03-15,3.61,CD(91일),연%
2023-03-16,3.62,CD(91일),연%
2023-03-17,3.62,CD(91일),연%
2023-03-20,3.62,CD(91일),연%
2023-03-21,3.62,CD(91일),연%
2023-03-22,3.62,CD(91일),연%
2023-03-23,3.62,CD(91일),연%
2023-03-24,3.59,CD(91일),연%
2023-03-27,3.59,CD(91일),연%
2023-03-28,3.59,CD(91일),연%
2023-03-29,3.59,CD(91일),연%
2023-03-30,3.59,CD(91일),연%
2023-03-31,3.59,CD(91일),연%
2023-04-03,3.59,CD(91일),연%
2023-04-04,3.59,CD(91일),연%
2023-04-05,3.59,CD(91일),연%
2023-04-06,3.58,CD(91일),연%
2023-04-07,3.53,CD(91일),연%
2023-04-10,3.51,CD(91일),연%
2023-04-11,3.48,CD(91일),연%
2023-04-12,3.43,CD(91일),연%
2023-04-13,3.43,CD(91일),연%
2023-04-14,3.43,CD(91일),연%
2023-04-17,3.43,CD(91일),연%
2023-04-18,3.44,CD(91일),연%
2023-04-19,3.45,CD(91일),연%
2023-04-20,3.47,CD(91일),연%
2023-04-21,3.49,CD(91일),연%
2023-04-24,3.49,CD(91일),연%
2023-04-25,3.49,CD(91일),연%
2023-04-26,3.5,CD(91일),연%
2023-04-27,3.52,CD(91일),연%
2023-04-28,3.52,CD(91일),연%
2023-05-02,3.53,CD(91일),연%
2023-05-03,3.55,CD(91일),연%
2023-05-04,3.55,CD(91일),연%
2023-05-08,3.55,CD(91일),연%
2023-05-09,3.55,CD(91일),연%
2023-05-10,3.59,CD(91일),연%
2023-05-11,3.6,CD(91일),연%
2023-05-12,3.61,CD(91일),연%
2023-05-15,3.62,CD(91일),연%
2023-05-16,3.62,CD(91일),연%
2023-05-17,3.65,CD(91일),연%
2023-05-18,3.66,CD(91일),연%
2023-05-19,3.67,CD(91일),연%
2023-05-22,3.68,CD(91일),연%
2023-05-23,3.7,CD(91일),연%
2023-05-24,3.73,CD(91일),연%
2023-05-25,3.75,CD(91일),연%
2023-05-26,3.75,CD(91일),연%
2023-05-30,3.76,CD(91일),연%
2023-05-31,3.76,CD(91일),연%
2023-06-01,3.76,CD(91일),연%
2023-06-02,3.76,CD(91일),연%
2023-06-05,3.76,CD(91일),연%
2023-06-07,3.75,CD(91일),연%
2023-06-08,3.75,CD(91일),연%
2023-06-09,3.75,CD(91일),연%
2023-06-12,3.75,CD(91일),연%
2023-06-13,3.75,CD(91일),연%
2023-06-14,3.75,CD(91일),연%
2023-06-15,3.75,CD(91일),연%
2023-06-16,3.75,CD(91일),연%
2023-06-19,3.75,CD(91일),연%
2023-06-20,3.75,CD(91일),연%
2023-06-21,3.75,CD(91일),연%
2023-06-22,3.75,CD(91일),연%
2023-06-23,3.75,CD(91일),연%
2023-06-26,3.75,CD(91일),연%
2023-06-27,3.75,CD(91일),연%
2023-06-28,3.75,CD(91일),연%
2023-06-29,3.75,CD(91일),연%
2023-06-30,3.75,CD(91일),연%
2023-07-03,3.75,CD(91일),연%
2023-07-04,3.74,CD(91일),연%
2023-07-05,3.74,CD(91일),연%
2023-07-06,3.74,CD(91일),연%
2023-07-07,3.75,CD(91일),연%
2023-07-10,3.75,CD(91일),연%
2023-07-11,3.75,CD(91일),연%
2023-07-12,3.75,CD(91일),연%
2023-07-13,3.75,CD(91일),연%
2023-07-14,3.75,CD(91일),연%
2023-07-17,3.75,CD(91일),연%
2023-07-18,3.75,CD(91일),연%
2023-07-19,3.75,CD(91일),연%
2023-07-20,3.75,CD(91일),연%
2023-07-21,3.75,CD(91일),연%
2023-07-24,3.75,CD(91일),연%
2023-07-25,3.75,CD(91일),연%
2023-07-26,3.75,CD(91일),연%
2023-07-27,3.74,CD(91일),연%
2023-07-28,3.74,CD(91일),연%
2023-07-31,3.74,CD(91일),연%
2023-08-01,3.74,CD(91일),연%
2023-08-02,3.74,CD(91일),연%
2023-08-03,3.73,CD(91일),연%
2023-08-04,3.72,CD(91일),연%
2023-08-07,3.72,CD(91일),연%
2023-08-08,3.7,CD(91일),연%
2023-08-09,3.7,CD(91일),연%
2023-08-10,3.68,CD(91일),연%
2023-08-11,3.69,CD(91일),연%
2023-08-14,3.69,CD(91일),연%
2023-08-16,3.7,CD(91일),연%
2023-08-17,3.7,CD(91일),연%
2023-08-18,3.7,CD(91일),연%
2023-08-21,3.7,CD(91일),연%
2023-08-22,3.7,CD(91일),연%
2023-08-23,3.69,CD(91일),연%
2023-08-24,3.69,CD(91일),연%
2023-08-25,3.69,CD(91일),연%
2023-08-28,3.69,CD(91일),연%
2023-08-29,3.69,CD(91일),연%
2023-08-30,3.69,CD(91일),연%
2023-08-31,3.69,CD(91일),연%
2023-09-01,3.68,CD(91일),연%
2023-09-04,3.69,CD(91일),연%
2023-09-05,3.7,CD(91일),연%
2023-09-06,3.71,CD(91일),연%
2023-09-07,3.72,CD(91일),연%
2023-09-08,3.72,CD(91일),연%
2023-09-11,3.72,CD(91일),연%
2023-09-12,3.73,CD(91일),연%
2023-09-13,3.75,CD(91일),연%
2023-09-14,3.76,CD(91일),연%
2023-09-15,3.78,CD(91일),연%
2023-09-18,3.79,CD(91일),연%
2023-09-19,3.8,CD(91일),연%
2023-09-20,3.81,CD(91일),연%
2023-09-21,3.82,CD(91일),연%
2023-09-22,3.83,CD(91일),연%
2023-09-25,3.83,CD(91일),연%
2023-09-26,3.83,CD(91일),연%
2023-09-27,3.83,CD(91일),연%
2023-10-04,3.84,CD(91일),연%
2023-10-05,3.83,CD(91일),연%
2023-10-06,3.82,CD(91일),연%
2023-10-10,3.82,CD(91일),연%
2023-10-11,3.82,CD(91일),연%
2023-10-12,3.82,CD(91일),연%
2023-10-13,3.82,CD(91일),연%
2023-10-16,3.82,CD(91일),연%
2023-10-17,3.82,CD(91일),연%
2023-10-18,3.82,CD(91일),연%
2023-10-19,3.82,CD(91일),연%
2023-10-20,3.82,CD(91일),연%
2023-10-23,3.82,CD(91일),연%
2023-10-24,3.82,CD(91일),연%
2023-10-25,3.82,CD(91일),연%
2023-10-26,3.82,CD(91일),연%
2023-10-27,3.82,CD(91일),연%
2023-10-30,3.82,CD(91일),연%
2023-10-31,3.82,CD(91일),연%
2023-11-01,3.83,CD(91일),연%
2023-11-02,3.83,CD(91일),연%
2023-11-03,3.83,CD(91일),연%
2023-11-06,3.83,CD(91일),연%
2023-11-07,3.83,CD(91일),연%
2023-11-08,3.83,CD(91일),연%
2023-11-09,3.83,CD(91일),연%
2023-11-10,3.83,CD(91일),연%
2023-11-13,3.83,CD(91일),연%
2023-11-14,3.83,CD(91일),연%
2023-11-15,3.83,CD(91일),연%
2023-11-16,3.83,CD(91일),연%
2023-11-17,3.83,CD(91일),연%
2023-11-20,3.83,CD(91일),연%
2023-11-21,3.83,CD(91일),연%
2023-11-22,3.83,CD(91일),연%
2023-11-23,3.84,CD(91일),연%
2023-11-24,3.84,CD(91일),연%
2023-11-27,3.84,CD(91일),연%
2023-11-28,3.84,CD(91일),연%
2023-11-29,3.84,CD(91일),연%
2023-11-30,3.84,CD(91일),연%
2023-12-01,3.84,CD(91일),연%
2023-12-04,3.84,CD(91일),연%
2023-12-05,3.84,CD(91일),연%
2023-12-06,3.84,CD(91일),연%
2023-12-07,3.84,CD(91일),연%
2023-12-08,3.84,CD(91일),연%
2023-12-11,3.84,CD(91일),연%
2023-12-12,3.84,CD(91일),연%
2023-12-13,3.84,CD(91일),연%
2023-12-14,3.83,CD(91일),연%
2023-12-15,3.83,CD(91일),연%
2023-12-18,3.83,CD(91일),연%
2023-12-19,3.83,CD(91일),연%
2023-12-20,3.83,CD(91일),연%
2023-12-21,3.83,CD(91일),연%
2023-12-22,3.83,CD(91일),연%
2023-12-26,3.83,CD(91일),연%
2023-12-27,3.83,CD(91일),연%
2023-12-28,3.83,CD(91일),연%
2023-12-29,3.83,CD(91일),연%
2024-01-02,3.83,CD(91일),연%
2024-01-03,3.83,CD(91일),연%
2024-01-04,3.82,CD(91일),연%
2024-01-05,3.81,CD(91일),연%
2024-01-08,3.81,CD(91일),연%
2024-01-09,3.8,CD(91일),연%
2024-01-10,3.79,CD(91일),연%
2024-01-11,3.78,CD(91일),연%
2024-01-12,3.77,CD(91일),연%
2024-01-15,3.74,CD(91일),연%
2024-01-16,3.72,CD(91일),연%
2024-01-17,3.71,CD(91일),연%
2024-01-18,3.69,CD(91일),연%
2024-01-19,3.68,CD(91일),연%
2024-01-22,3.68,CD(91일),연%
2024-01-23,3.68,CD(91일),연%
2024-01-24,3.68,CD(91일),연%
2024-01-25,3.68,CD(91일),연%
2024-01-26,3.68,CD(91일),연%
2024-01-29,3.68,CD(91일),연%
2024-01-30,3.68,CD(91일),연%
2024-01-31,3.68,CD(91일),연%
2024-02-01,3.68,CD(91일),연%
2024-02-02,3.68,CD(91일),연%
2024-02-05,3.67,CD(91일),연%
2024-02-06,3.67,CD(91일),연%
2024-02-07,3.67,CD(91일),연%
2024-02-08,3.67,CD(91일),연%
2024-02-13,3.67,CD(91일),연%
2024-02-14,3.68,CD(91일),연%
2024-02-15,3.68,CD(91일),연%
2024-02-16,3.68,CD(91일),연%
2024-02-19,3.69,CD(91일),연%
2024-02-20,3.69,CD(91일),연%
2024-02-21,3.7,CD(91일),연%
2024-02-22,3.7,CD(91일),연%
2024-02-23,3.7,CD(91일),연%
2024-02-26,3.7,CD(91일),연%
2024-02-27,3.7,CD(91일),연%
2024-02-28,3.7,CD(91일),연%
2024-02-29,3.69,CD(91일),연%
2024-03-04,3.68,CD(91일),연%
2024-03-05,3.68,CD(91일),연%
2024-03-06,3.68,CD(91일),연%
2024-03-07,3.68,CD(91일),연%
2024-03-08,3.68,CD(91일),연%
2024-03-11,3.67,CD(91일),연%
2024-03-12,3.66,CD(91일),연%
2024-03-13,3.65,CD(91일),연%
2024-03-14,3.64,CD(91일),연%
2024-03-15,3.64,CD(91일),연%
2024-03-18,3.64,CD(91일),연%
2024-03-19,3.64,CD(91일),연%
2024-03-20,3.64,CD(91일),연%
2024-03-21,3.65,CD(91일),연%
2024-03-22,3.65,CD(91일),연%
2024-03-25,3.65,CD(91일),연%
2024-03-26,3.64,CD(91일),연%
2024-03-27,3.63,CD(91일),연%
2024-03-28,3.64,CD(91일),연%
2024-03-29,3.64,CD(91일),연%
2024-04-01,3.63,CD(91일),연%
2024-04-02,3.63,CD(91일),연%
2024-04-03,3.62,CD(91일),연%
2024-04-04,3.62,CD(91일),연%
2024-04-05,3.58,CD(91일),연%
2024-04-08,3.56,CD(91일),연%
2024-04-09,3.57,CD(91일),연%
2024-04-11,3.57,CD(91일),연%
2024-04-12,3.56,CD(91일),연%
2024-04-15,3.56,CD(91일),연%
2024-04-16,3.56,CD(91일),연%
2024-04-17,3.55,CD(91일),연%
2024-04-18,3.55,CD(91일),연%
2024-04-19,3.55,CD(91일),연%
2024-04-22,3.56,CD(91일),연%
2024-04-23,3.56,CD(91일),연%
2024-04-24,3.56,CD(91일),연%
2024-04-25,3.57,CD(91일),연%
2024-04-26,3.57,CD(91일),연%
2024-04-29,3.57,CD(91일),연%
2024-04-30,3.57,CD(91일),연%
2024-05-02,3.57,CD(91일),연%
2024-05-03,3.58,CD(91일),연%
2024-05-07,3.58,CD(91일),연%
2024-05-08,3.58,CD(91일),연%
2024-05-09,3.58,CD(91일),연%
2024-05-10,3.58,CD(91일),연%
2024-05-13,3.59,CD(91일),연%
2024-05-14,3.6,CD(91일),연%
2024-05-16,3.6,CD(91일),연%
2024-05-17,3.6,CD(91일),연%
2024-05-20,3.6,CD(91일),연%
2024-05-21,3.6,CD(91일),연%
2024-05-22,3.6,CD(91일),연%
2024-05-23,3.6,CD(91일),연%
2024-05-24,3.6,CD(91일),연%
2024-05-27,3.61,CD(91일),연%
2024-05-28,3.62,CD(91일),연%
2024-05-29,3.61,CD(91일),연%
2024-05-30,3.6,CD(91일),연%
2024-05-31,3.61,CD(91일),연%
2024-06-03,3.61,CD(91일),연%
2024-06-04,3.6,CD(91일),연%
2024-06-05,3.6,CD(91일),연%
2024-06-07,3.6,CD(91일),연%
2024-06-10,3.6,CD(91일),연%
2024-06-11,3.6,CD(91일),연%
2024-06-12,3.6,CD(91일),연%
2024-06-13,3.6,CD(91일),연%
2024-06-14,3.6,CD(91일),연%
2024-06-17,3.6,CD(91일),연%
2024-06-18,3.6,CD(91일),연%
2024-06-19,3.6,CD(91일),연%
2024-06-20,3.6,CD(91일),연%
2024-06-21,3.6,CD(91일),연%
2024-06-24,3.6,CD(91일),연%
2024-06-25,3.6,CD(91일),연%
2024-06-26,3.6,CD(91일),연%
2024-06-27,3.6,CD(91일),연%
2024-06-28,3.6,CD(91일),연%
2024-07-01,3.6,CD(91일),연%
2024-07-02,3.6,CD(91일),연%
2024-07-03,3.58,CD(91일),연%
2024-07-04,3.58,CD(91일),연%
2024-07-05,3.57,CD(91일),연%
2024-07-08,3.57,CD(91일),연%
2024-07-09,3.56,CD(91일),연%
2024-07-10,3.55,CD(91일),연%
2024-07-11,3.55,CD(91일),연%
2024-07-12,3.55,CD(91일),연%
2024-07-15,3.54,CD(91일),연%
2024-07-16,3.55,CD(91일),연%
2024-07-17,3.54,CD(91일),연%
2024-07-18,3.52,CD(91일),연%
2024-07-19,3.52,CD(91일),연%
2024-07-22,3.52,CD(91일),연%
2024-07-23,3.52,CD(91일),연%
2024-07-24,3.51,CD(91일),연%
2024-07-25,3.51,CD(91일),연%
2024-07-26,3.5,CD(91일),연%
2024-07-29,3.5,CD(91일),연%
2024-07-30,3.5,CD(91일),연%
2024-07-31,3.5,CD(91일),연%
2024-08-01,3.49,CD(91일),연%
2024-08-02,3.48,CD(91일),연%
2024-08-05,3.48,CD(91일),연%
2024-08-06,3.47,CD(91일),연%
2024-08-07,3.48,CD(91일),연%
2024-08-08,3.47,CD(91일),연%
2024-08-09,3.47,CD(91일),연%
2024-08-12,3.46,CD(91일),연%
2024-08-13,3.49,CD(91일),연%
2024-08-14,3.49,CD(91일),연%
2024-08-16,3.51,CD(91일),연%
2024-08-19,3.51,CD(91일),연%
2024-08-20,3.51,CD(91일),연%
2024-08-21,3.52,CD(91일),연%
2024-08-22,3.51,CD(91일),연%
2024-08-23,3.51,CD(91일),연%
2024-08-26,3.51,CD(91일),연%
2024-08-27,3.52,CD(91일),연%
2024-08-28,3.52,CD(91일),연%
2024-08-29,3.52,CD(91일),연%
2024-08-30,3.52,CD(91일),연%
2024-09-02,3.52,CD(91일),연%
2024-09-03,3.51,CD(91일),연%
2024-09-04,3.51,CD(91일),연%
2024-09-05,3.51,CD(91일),연%
2024-09-06,3.51,CD(91일),연%
2024-09-09,3.51,CD(91일),연%
2024-09-10,3.51,CD(91일),연%
2024-09-11,3.51,CD(91일),연%
2024-09-12,3.51,CD(91일),연%
2024-09-13,3.53,CD(91일),연%
2024-09-19,3.53,CD(91일),연%
2024-09-20,3.53,CD(91일),연%
2024-09-23,3.53,CD(91일),연%
2024-09-24,3.53,CD(91일),연%
2024-09-25,3.53,CD(91일),연%
2024-09-26,3.53,CD(91일),연%
2024-09-27,3.53,CD(91일),연%
2024-09-30,3.53,CD(91일),연%
2024-10-02,3.52,CD(91일),연%
2024-10-04,3.52,CD(91일),연%
2024-10-07,3.51,CD(91일),연%
2024-10-08,3.51,CD(91일),연%
2024-10-10,3.5,CD(91일),연%
2024-10-11,3.4,CD(91일),연%
2024-10-14,3.4,CD(91일),연%
2024-10-15,3.4,CD(91일),연%
2024-10-16,3.4,CD(91일),연%
2024-10-17,3.39,CD(91일),연%
2024-10-18,3.39,CD(91일),연%
2024-10-21,3.39,CD(91일),연%
2024-10-22,3.4,CD(91일),연%
2024-10-23,3.4,CD(91일),연%
2024-10-24,3.4,CD(91일),연%
2024-10-25,3.4,CD(91일),연%
2024-10-28,3.41,CD(91일),연%
2024-10-29,3.41,CD(91일),연%
2024-10-30,3.43,CD(91일),연%
2024-10-31,3.43,CD(91일),연%
2024-11-01,3.43,CD(91일),연%
2024-11-04,3.43,CD(91일),연%
2024-11-05,3.44,CD(91일),연%
2024-11-06,3.44,CD(91일),연%
2024-11-07,3.43,CD(91일),연%
2024-11-08,3.43,CD(91일),연%
2024-11-11,3.43,CD(91일),연%
2024-11-12,3.44,CD(91일),연%
2024-11-13,3.44,CD(91일),연%
2024-11-14,3.44,CD(91일),연%
2024-11-15,3.44,CD(91일),연%
2024-11-18,3.44,CD(91일),연%
2024-11-19,3.44,CD(91일),연%
2024-11-20,3.44,CD(91일),연%
2024-11-21,3.44,CD(91일),연%
2024-11-22,3.44,CD(91일),연%
2024-11-25,3.44,CD(91일),연%
2024-11-26,3.44,CD(91일),연%
2024-11-27,3.44,CD(91일),연%
2024-11-28,3.29,CD(91일),연%
2024-11-29,3.29,CD(91일),연%
2024-12-02,3.28,CD(91일),연%
2024-12-03,3.28,CD(91일),연%
2024-12-04,3.28,CD(91일),연%
2024-12-05,3.28,CD(91일),연%
2024-12-06,3.28,CD(91일),연%
2024-12-09,3.28,CD(91일),연%
2024-12-10,3.3,CD(91일),연%
2024-12-11,3.33,CD(91일),연%
2024-12-12,3.31,CD(91일),연%
2024-12-13,3.32,CD(91일),연%
2024-12-16,3.38,CD(91일),연%
2024-12-17,3.38,CD(91일),연%
2024-12-18,3.38,CD(91일),연%
2024-12-19,3.39,CD(91일),연%
2024-12-20,3.39,CD(91일),연%
2024-12-23,3.39,CD(91일),연%
2024-12-24,3.4,CD(91일),연%
2024-12-26,3.4,CD(91일),연%
2024-12-27,3.44,CD(91일),연%
2024-12-30,3.44,CD(91일),연%
2024-12-31,3.39,CD(91일),연%
